Epoch: [5][20/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.005 (0.013)	Loss 1.6860 (1.7753)	Prec@1 25.000 (36.198)	Prec@5 85.938 (87.537)
Epoch: [5][30/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.012)	Loss 1.8026 (1.8146)	Prec@1 46.875 (34.476)	Prec@5 88.281 (86.290)
Epoch: [5][40/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.011)	Loss 1.9771 (1.8226)	Prec@1 46.875 (36.490)	Prec@5 89.062 (87.367)
Epoch: [5][50/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.011)	Loss 1.8828 (1.8308)	Prec@1 26.562 (35.463)	Prec@5 85.938 (87.347)
Epoch: [5][60/97], lr: 0.01000	Time 0.153 (0.144)	Data 0.000 (0.011)	Loss 1.6167 (1.8353)	Prec@1 39.844 (34.132)	Prec@5 85.938 (87.410)
Epoch: [5][70/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.7874 (1.8321)	Prec@1 43.750 (36.059)	Prec@5 88.281 (87.423)
Epoch: [5][80/97], lr: 0.01000	Time 0.147 (0.145)	Data 0.000 (0.010)	Loss 1.7328 (1.8350)	Prec@1 36.719 (36.651)	Prec@5 94.531 (87.307)
Epoch: [5][90/97], lr: 0.01000	Time 0.151 (0.145)	Data 0.000 (0.010)	Loss 1.6545 (1.8366)	Prec@1 42.188 (36.702)	Prec@5 92.969 (87.594)
Epoch: [6][0/97], lr: 0.01000	Time 0.166 (0.166)	Data 0.107 (0.107)	Loss 1.7339 (1.7339)	Prec@1 43.750 (43.750)	Prec@5 84.375 (84.375)
Epoch: [6][10/97], lr: 0.01000	Time 0.144 (0.150)	Data 0.000 (0.019)	Loss 1.6803 (1.7121)	Prec@1 40.625 (32.528)	Prec@5 86.719 (87.358)
Epoch: [6][20/97], lr: 0.01000	Time 0.143 (0.147)	Data 0.000 (0.014)	Loss 1.9220 (1.7387)	Prec@1 52.344 (40.513)	Prec@5 93.750 (89.100)
Epoch: [6][30/97], lr: 0.01000	Time 0.143 (0.147)	Data 0.000 (0.012)	Loss 1.7766 (1.7428)	Prec@1 43.750 (43.876)	Prec@5 89.844 (89.163)
Epoch: [6][40/97], lr: 0.01000	Time 0.143 (0.146)	Data 0.000 (0.012)	Loss 1.8971 (1.7541)	Prec@1 52.344 (43.445)	Prec@5 88.281 (89.329)
Epoch: [6][50/97], lr: 0.01000	Time 0.144 (0.146)	Data 0.000 (0.011)	Loss 1.8662 (1.7714)	Prec@1 46.094 (44.792)	Prec@5 91.406 (89.262)
Epoch: [6][60/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.000 (0.011)	Loss 2.1801 (1.7625)	Prec@1 14.062 (42.610)	Prec@5 83.594 (89.255)
Epoch: [6][70/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.000 (0.011)	Loss 1.7129 (1.7654)	Prec@1 46.875 (40.548)	Prec@5 89.062 (88.941)
Epoch: [6][80/97], lr: 0.01000	Time 0.143 (0.145)	Data 0.000 (0.010)	Loss 1.8064 (1.7618)	Prec@1 48.438 (41.262)	Prec@5 92.969 (88.561)
Epoch: [6][90/97], lr: 0.01000	Time 0.148 (0.145)	Data 0.000 (0.010)	Loss 1.6987 (1.7611)	Prec@1 35.156 (40.857)	Prec@5 90.625 (88.719)
