Epoch: [5][0/97], lr: 0.01000	Time 0.156 (0.156)	Data 0.101 (0.101)	Loss 4.0212 (4.0212)	Prec@1 68.750 (68.750)	Prec@5 98.438 (98.438)
Epoch: [5][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 2.9107 (3.7012)	Prec@1 81.250 (75.284)	Prec@5 99.219 (97.585)
Epoch: [5][20/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.013)	Loss 3.9715 (3.7896)	Prec@1 73.438 (74.702)	Prec@5 97.656 (97.284)
Epoch: [5][30/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.012)	Loss 3.7200 (3.7669)	Prec@1 78.906 (74.950)	Prec@5 94.531 (96.598)
Epoch: [5][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 4.3677 (3.7840)	Prec@1 71.094 (74.867)	Prec@5 93.750 (96.494)
Epoch: [5][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 4.1324 (3.8069)	Prec@1 74.219 (74.786)	Prec@5 95.312 (96.385)
Epoch: [5][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.6449 (3.8235)	Prec@1 78.906 (74.654)	Prec@5 97.656 (96.529)
Epoch: [5][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.3861 (3.8128)	Prec@1 71.875 (74.780)	Prec@5 96.875 (96.589)
Epoch: [5][80/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.5331 (3.8126)	Prec@1 75.781 (74.788)	Prec@5 97.656 (96.615)
Epoch: [5][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.6360 (3.7962)	Prec@1 69.531 (74.734)	Prec@5 94.531 (96.575)
Epoch: [6][0/97], lr: 0.01000	Time 0.157 (0.157)	Data 0.102 (0.102)	Loss 2.8761 (2.8761)	Prec@1 78.906 (78.906)	Prec@5 97.656 (97.656)
Epoch: [6][10/97], lr: 0.01000	Time 0.139 (0.142)	Data 0.000 (0.017)	Loss 3.6243 (3.7464)	Prec@1 77.344 (74.219)	Prec@5 98.438 (97.088)
Epoch: [6][20/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.013)	Loss 4.4803 (3.7774)	Prec@1 65.625 (74.107)	Prec@5 92.969 (96.689)
Epoch: [6][30/97], lr: 0.01000	Time 0.143 (0.141)	Data 0.000 (0.012)	Loss 3.6275 (3.7009)	Prec@1 76.562 (74.924)	Prec@5 95.312 (96.749)
Epoch: [6][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 3.7478 (3.7383)	Prec@1 72.656 (74.619)	Prec@5 99.219 (96.856)
Epoch: [6][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.7949 (3.7002)	Prec@1 73.438 (74.954)	Prec@5 96.875 (96.998)
Epoch: [6][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.6999 (3.6788)	Prec@1 78.906 (75.295)	Prec@5 96.875 (97.144)
Epoch: [6][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.2914 (3.6911)	Prec@1 66.406 (75.242)	Prec@5 96.875 (97.117)
Epoch: [6][80/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 3.3039 (3.6503)	Prec@1 77.344 (75.550)	Prec@5 96.094 (97.174)
Epoch: [6][90/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 3.4869 (3.6580)	Prec@1 78.125 (75.524)	Prec@5 98.438 (97.287)
Epoch: [7][0/97], lr: 0.01000	Time 0.148 (0.148)	Data 0.093 (0.093)	Loss 3.1639 (3.1639)	Prec@1 82.031 (82.031)	Prec@5 94.531 (94.531)
Epoch: [7][10/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.016)	Loss 3.8669 (3.4710)	Prec@1 73.438 (77.202)	Prec@5 97.656 (96.591)
Epoch: [7][20/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 4.0935 (3.5340)	Prec@1 74.219 (77.195)	Prec@5 98.438 (97.024)
Epoch: [7][30/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.8559 (3.5180)	Prec@1 74.219 (77.419)	Prec@5 99.219 (96.825)
Epoch: [7][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 3.9432 (3.5677)	Prec@1 71.875 (77.115)	Prec@5 94.531 (96.742)
Epoch: [7][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.7487 (3.5317)	Prec@1 82.031 (77.037)	Prec@5 100.000 (97.044)
Epoch: [7][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.3436 (3.5361)	Prec@1 72.656 (77.126)	Prec@5 98.438 (97.106)
